,key1,key2,similarity
0,HUMBLE.,Mask Off,1088.0341472625732
1,One Dance,Broccoli (feat. Lil Yachty),1042.4192390441897
2,XO TOUR Llif3,Congratulations,1015.0106239318848
3,HUMBLE.,Congratulations,993.5459136962892
4,Broccoli (feat. Lil Yachty),Caroline,967.609983444214
5,HUMBLE.,iSpy (feat. Lil Yachty),954.4923057556152
6,HUMBLE.,DNA.,947.404977798462
7,Bad and Boujee (feat. Lil Uzi Vert),Bounce Back,903.350061416626
8,Mask Off,goosebumps,867.3322448730469
9,One Dance,Too Good,858.3561515808105
10,HUMBLE.,Bounce Back,857.1550369262695
11,Mask Off,Congratulations,845.2168674468994
12,Broccoli (feat. Lil Yachty),Congratulations,843.5817775726318
13,HUMBLE.,XO TOUR Llif3,843.0081558227539
14,Caroline,Bounce Back,842.4734773635864
15,HUMBLE.,Bad and Boujee (feat. Lil Uzi Vert),828.1329345703125
16,XO TOUR Llif3,Mask Off,813.1203155517578
17,iSpy (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),808.8446807861328
18,Congratulations,Bounce Back,803.9079666137695
19,Caroline,iSpy (feat. Lil Yachty),785.6917190551758
20,No Problem (feat. Lil Wayne & 2 Chainz),Broccoli (feat. Lil Yachty),771.2213516235352
21,Broccoli (feat. Lil Yachty),Bad and Boujee (feat. Lil Uzi Vert),770.2584838867188
22,XO TOUR Llif3,Magnolia,768.8417625427246
23,XO TOUR Llif3,goosebumps,767.9284954071045
24,Congratulations,Bad and Boujee (feat. Lil Uzi Vert),765.9014225006104
25,One Dance,Panda,762.516035079956
26,Broccoli (feat. Lil Yachty),iSpy (feat. Lil Yachty),757.2484321594238
27,XO TOUR Llif3,DNA.,754.3554697036743
28,XO TOUR Llif3,Slippery (feat. Gucci Mane),754.2351732254028
29,iSpy (feat. Lil Yachty),Bounce Back,753.4717082977295
30,HUMBLE.,Slippery (feat. Gucci Mane),751.4687976837158
31,HUMBLE.,Tunnel Vision,743.0805654525757
32,One Dance,Jumpman,726.3010959625244
33,Congratulations,T-Shirt,724.3440542221069
34,Fake Love,Bounce Back,722.9633493423462
35,XO TOUR Llif3,Bounce Back,717.744686126709
36,HUMBLE.,Magnolia,713.2351026535034
37,goosebumps,Bad and Boujee (feat. Lil Uzi Vert),709.1460943222046
38,Mask Off,iSpy (feat. Lil Yachty),705.2413921356201
39,goosebumps,Congratulations,704.4561138153076
40,No Problem (feat. Lil Wayne & 2 Chainz),Bad and Boujee (feat. Lil Uzi Vert),700.204216003418
41,Broccoli (feat. Lil Yachty),Bounce Back,699.759765625
42,XO TOUR Llif3,Swang,699.7404913902283
43,Broccoli (feat. Lil Yachty),Black Beatles,699.5731544494629
44,XO TOUR Llif3,Bank Account,698.782187461853
45,Mask Off,Bad and Boujee (feat. Lil Uzi Vert),696.8619337081909
46,HUMBLE.,T-Shirt,696.0425968170166
47,Mask Off,Bounce Back,692.4322652816772
48,I'm the One,Despacito - Remix,689.0788288116455
49,Congratulations,iSpy (feat. Lil Yachty),687.7745332717896
50,Cold Water (feat. Justin Bieber & MØ),Let Me Love You,685.971438407898
51,Broccoli (feat. Lil Yachty),Chill Bill,685.9670991897583
52,No Problem (feat. Lil Wayne & 2 Chainz),Congratulations,682.5523805618286
53,Slippery (feat. Gucci Mane),T-Shirt,679.8363075256348
54,HUMBLE.,goosebumps,674.9158382415771
55,Closer,Let Me Love You,673.1961355209351
56,XO TOUR Llif3,Tunnel Vision,671.6390085220337
57,XO TOUR Llif3,Drowning (feat. Kodak Black),670.1451172828674
58,Trap Queen,679 (feat. Remy Boyz),668.8275728225708
59,What Do You Mean?,Sorry,666.1334037780762
60,Closer,Cold Water (feat. Justin Bieber & MØ),664.8292694091797
61,XO TOUR Llif3,Bad and Boujee (feat. Lil Uzi Vert),662.9661808013916
62,Fake Love,Bad and Boujee (feat. Lil Uzi Vert),661.4439105987549
63,HUMBLE.,Broccoli (feat. Lil Yachty),658.7569885253906
64,Black Beatles,Caroline,658.7226209640503
65,Chill Bill,Bad and Boujee (feat. Lil Uzi Vert),656.9265909194946
66,No Problem (feat. Lil Wayne & 2 Chainz),Caroline,656.2957706451416
67,T-Shirt,Bad and Boujee (feat. Lil Uzi Vert),654.2693786621094
68,No Role Modelz,Wet Dreamz,653.7332196235657
69,goosebumps,T-Shirt,650.5758318901062
70,HUMBLE.,No Problem (feat. Lil Wayne & 2 Chainz),649.3870887756348
71,Mask Off,Tunnel Vision,647.9525966644287
72,XO TOUR Llif3,Butterfly Effect,647.8673706054688
73,Mask Off,Slippery (feat. Gucci Mane),647.6758303642273
74,H.O.L.Y.,Die A Happy Man,639.6987500190735
75,Fake Love,iSpy (feat. Lil Yachty),631.1461486816406
76,Tunnel Vision,Bad and Boujee (feat. Lil Uzi Vert),629.0947790145874
77,Chill Bill,Caroline,628.0903015136719
78,Butterfly Effect,goosebumps,626.1109547615051
79,Caroline,Bad and Boujee (feat. Lil Uzi Vert),623.1282148361206
80,goosebumps,iSpy (feat. Lil Yachty),621.9834661483765
81,Fake Love,Caroline,618.3557739257812
82,HUMBLE.,I'm the One,617.0049362182617
83,One Dance,Controlla,616.8708610534668
84,You Was Right,Broccoli (feat. Lil Yachty),614.5161743164062
85,DNA.,Congratulations,614.4238662719727
86,HUMBLE.,Caroline,611.5533866882324
87,One Dance,Needed Me,610.9748268127441
88,Slippery (feat. Gucci Mane),Bad and Boujee (feat. Lil Uzi Vert),610.8798055648804
89,goosebumps,Tunnel Vision,610.861554145813
90,goosebumps,Bounce Back,610.686559677124
91,I'm the One,iSpy (feat. Lil Yachty),610.1669826507568
